Model,Accuracy,Precision,Recall,F1,AUC,AUC_List
LinearSVC,0.8649006622516555,0.6906160094439466,0.6753036984075438,0.6793880876847622,0.8586670611411474,"[np.float64(0.8391812865497076), np.float64(0.8257839721254355), np.float64(0.8698473282442748), np.float64(0.9047619047619048), np.float64(0.8218503937007874), np.float64(0.867335562987737), np.float64(0.8687445127304653), np.float64(0.848883572567783), np.float64(0.8187134502923976), np.float64(0.9215686274509804)]"
NaiveBayes,0.6304635761589404,0.6088928329763071,0.7465625047322757,0.5578375472225287,0.7465625047322757,"[np.float64(0.7376775271512114), np.float64(0.7375145180023229), np.float64(0.7341603053435115), np.float64(0.7846153846153846), np.float64(0.7209645669291338), np.float64(0.762263099219621), np.float64(0.7467076382791923), np.float64(0.6714513556618821), np.float64(0.7504177109440268), np.float64(0.8198529411764706)]"
